	0	1	2	3	4
0	A8192	B9111	A23425	A11280	B6553
1	A263	B201	A28476	B23374	
2	A730	B575	A22400	A8812	
3	A2621	B4660	A23796	B2069	
4	A2926	B2305	A11779	B9523	
5	A4322	B3416	A14858	B12052	
6	A5554	B23567	B4403	A11083	
7	C1775	D5273	D3720	C3182	
8	A10393	B14817	B8375	A28267	
9	A10497	B10102	A15446	B8457	
10	A12152	B22564	B9835	A28578	
11	C2301	B15693	A19246	D4670	
12	A2	D6730	D2		
13	A83	B6058	B60		
14	A139	B102	A12478		
15	C21	D62	C4114		
16	A221	B13149	B170		
17	C35	D106	C4256		
18	A307	B12531	B236		
19	A345	B269	A17624		
20	A363	B284	A26246		
21	A368	B2491	B287		
22	A379	B297	A26431		
23	A382	B299	A27093		
24	A385	D132	A28611		
25	A419	B329	A27812		
26	A434	D146	A23724		
27	A491	B10632	B386		
28	A502	B22402	B394		
29	A509	B400	A11983		
30	A565	D189	A30052		
31	C73	D4657	D190		
32	A571	B22856	B454		
33	A611	B488	A10161		
34	A628	B501	A16758		
35	A650	D211	A14672		
36	A727	B574	A14081		
37	A754	B594	A20988		
38	A765	B19275	B603		
39	A957	B14265	B754		
40	A959	B756	A26794		
41	A986	B8999	B777		
42	A995	B9706	B784		
43	A1016	B802	A13116		
44	A1055	B832	A14845		
45	A1083	B856	A25663		
46	A1138	B18566	B894		
47	C140	D4788	D388		
48	A1148	D390	C3067		
49	A1160	B14842	B909		
50	A1192	B16174	B933		
51	A1193	D10145	D411		
52	A1230	B963	A5662		
53	C154	D422	C5631		
54	A1275	B1998	B997		
55	A1309	B18983	B1023		
56	A1320	B17711	B1033		
57	A1327	B19623	B1039		
58	A1398	B1096	A18549		
59	A1448	B1134	A11276		
60	A1508	B22829	B1179		
61	A1523	B1193	A16324		
62	A1611	B1264	A16581		
63	A1617	B1269	A28288		
64	A1631	B1283	A18270		
65	A1701	B22426	B1344		
66	A1763	B18375	B1393		
67	A1832	B1452	A9093		
68	A1838	D642	A14417		
69	A1846	B3060	B1461		
70	A1860	B1469	A13248		
71	A1941	B9369	B1533		
72	C271	D679	C1322		
73	A1963	B1549	A18406		
74	A1970	B11953	B1556		
75	A1971	B1557	A25375		
76	A1978	B14323	B1565		
77	A1989	B1576	A25064		
78	A2005	B2497	B1593		
79	A2049	B1625	A23631		
80	A2203	B15604	B1749		
81	A2268	B8468	B1794		
82	A2358	B1859	A16792		
83	A2362	B6187	B1862		
84	A2390	B8824	B1885		
85	A2447	D875	C6204		
86	A2478	D5007	D883		
87	A2569	B10626	B2031		
88	A2582	B13571	B2041		
89	A2692	B6506	B2122		
90	A2711	D977	A22777		
91	A2718	D978	A8018		
92	A2726	B13184	B2148		
93	A2745	B8506	B2161		
94	A2813	B2693	B2210		
95	C416	D1027	C4179		
96	A2874	B2262	A20935		
97	C424	B19736	D1038		
98	A2881	B2267	C2636		
99	A2887	B2273	A10492		
100	A2924	B9275	B2303		
101	A2971	B20543	B2339		
102	A3113	B9592	B2450		
103	A3174	B2499	A12452		
104	A3246	B10336	B2557		
105	A3268	B2576	A4503		
106	A3283	B15616	B2587		
107	A3297	B8385	B2598		
108	A3304	B22975	B2603		
109	A3377	B13892	B2658		
110	A3435	B2703	A24832		
111	A3450	B15541	B2715		
112	A3512	D6940	D1280		
113	A3513	B2757	A23946		
114	A3546	B2782	A6216		
115	C536	D5360	D1311		
116	A3605	B2826	A26570		
117	A3670	B2881	A5737		
118	A3691	B2900	A19212		
119	A3693	B22880	B2902		
120	A3703	B21585	B2912		
121	A3776	B2977	A25732		
122	A3886	B17565	B3066		
123	A3914	B3087	A12037		
124	A3953	B11554	B3121		
125	C603	D1439	C1371		
126	A4056	B11024	B3201		
127	A4120	B3252	A13283		
128	A4129	B15131	B3260		
129	A4133	B8990	B3264		
130	A4147	B3275	A21639		
131	A4153	B16576	B3280		
132	A4191	B3313	A24205		
133	A4200	B3321	A20478		
134	A4226	B3340	A10902		
135	C669	D3142	B3398		
136	A4325	B3418	A20785		
137	A4337	B17257	B3430		
138	A4363	B24827	B3449		
139	A4454	B18856	B3523		
140	A4661	B11418	B3697		
141	A4690	B3717	A11703		
142	A4716	B3739	A21593		
143	A4736	B24634	B3755		
144	A4780	B21882	B3790		
145	C769	D1766	C3549		
146	A4799	B12410	B3806		
147	A4803	B5887	B3809		
148	A4848	B23909	B3843		
149	A4853	B23383	B3847		
150	A4856	D6519	B3850		
151	A4882	B13646	B3869		
152	A4913	B3894	A18851		
153	A4958	B3931	A23469		
154	A5018	B3983	A11309		
155	A5095	B16813	B4043		
156	A5144	B4082	A22946		
157	C847	D4672	D1937		
158	A5286	B4190	A24085		
159	C856	D8289	D1959		
160	A5329	D9411	B4229		
161	A5332	B4231	A23549		
162	A5352	B10060	B4248		
163	A5368	B22004	B4262		
164	A5401	B4286	A14752		
165	A5453	B23403	B4325		
166	A5569	B6541	B4416		
167	A5585	B11438	B4431		
168	A5589	B4434	A26982		
169	A5748	D2137	A27756		
170	A5802	B4609	A28569		
171	A5893	B4680	A17441		
172	A5919	B4702	A28464		
173	A5960	D2216	A13142		
174	A6009	B4776	A21527		
175	A6069	B4825	A26911		
176	A6195	B4927	A29522		
177	C1051	D2325	C4681		
178	C1059	D11670	D2338		
179	A6298	B5020	A14311		
180	A6463	B5150	A15249		
181	A6539	B5204	A10793		
182	A6556	B5215	A28055		
183	A6563	B9601	B5223		
184	C1135	D9176	D2500		
185	A6715	B5347	A6717		
186	A6762	B13578	B5386		
187	A6782	B5401	A12792		
188	A6793	B5407	A16997		
189	A6857	B5459	A7598		
190	A7005	B5573	A28273		
191	A7050	D11640	D2648		
192	A7081	B5632	A11426		
193	A7094	B17095	B5643		
194	C1220	D6382	D2674		
195	A7136	D2685	A19447		
196	A7138	B24755	B5679		
197	A7191	B7873	B5722		
198	A7227	B5745	A14038		
199	A7230	B20749	B5748		
200	A7273	B5778	A20190		
201	C1249	D11386	D2746		
202	A7293	B20983	B5793		
203	A7470	B21502	B5944		
204	A7471	B17253	B5945		
205	C1290	D2818	C4715		
206	A7506	B11552	B5972		
207	A7530	B8673	B5993		
208	A7552	B6010	A25320		
209	A7629	B13897	B6070		
210	A7645	B10712	B6085		
211	A7690	B24785	B6116		
212	A7743	B6165	A19650		
213	A7781	D2931	A24843		
214	C1357	D6108	D2951		
215	A7873	B6272	A27224		
216	A7878	B13220	B6277		
217	A7901	B19268	B6298		
218	A7947	B9552	B6341		
219	C1405	D3024	C1597		
220	A8078	D3044	A28150		
221	A8102	B22058	B6473		
222	A8257	B6604	A10465		
223	A8283	B6628	A26180		
224	C1460	D3135	C5756		
225	A8342	B11528	B6669		
226	A8350	D7802	D3137		
227	A8401	B23123	D3154		
228	A8420	B15515	B6736		
229	C1473	D6716	D3160		
230	A8429	B16953	B6743		
231	A8596	B6874	A21517		
232	A8628	D10510	D3239		
233	A8735	B11157	B6987		
234	A8776	B10226	B7025		
235	A8789	B7038	A24689		
236	A8795	B10806	B7043		
237	A8801	B13955	B7048		
238	A9005	B18665	D3362		
239	A9048	B12850	B7251		
240	C1593	D3398	C4674		
241	A9375	B7532	A17165		
242	A9492	D3533	A17713		
243	A9547	B17896	B7670		
244	A9560	B19799	B7682		
245	A9569	D9857	B7690		
246	A9571	B7693	A28393		
247	A9613	B22449	B7731		
248	A9657	B7770	A17514		
249	C1709	D3601	C3951		
250	A9748	B18211	B7846		
251	A9783	B7877	A25162		
252	A9946	B8527	B8007		
253	C1768	D7321	D3709		
254	C1771	D3712	C3080		
255	A10016	B8062	A22342		
256	A10066	B8109	A14329		
257	A10105	B19119	B8144		
258	A10140	B8168	A24119		
259	A10245	B8252	A14251		
260	C1850	D4687	D3865		
261	A10427	B8398	A22804		
262	A10438	B8408	A22471		
263	A10468	B17418	B8436		
264	A10488	B18086	B8450		
265	A10503	B11644	B8463		
266	A10558	B8515	A23898		
267	A10605	B10518	B8552		
268	A10622	B22685	B8565		
269	A10623	B21048	B8566		
270	A10689	B18536	B8618		
271	A10759	B8677	A22604		
272	A10770	B13443	B8684		
